"Date","District","Meantemp","Totalrain","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito.per.1000.traps","Period","year","month","parks","retail_and_recreation","grocery_and_pharmacy","residential","transit_stations","workplaces","fittednum","predictednum","predictedmin","predictedmax","Nummosquito.per.1000.traps_normal","fittednum_normal","predictednum_normal","predictedmin_normal","predictedmax_normal"
2020-04-01,"Hong Kong Island & Kowloon",21.6555555555556,62.95,0.042,1.16666666666667,68,3740,157,49,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,50,44.5975080785114,25.4606288633331,72.189155005337,0.561636606146987,0.573098577701007,0.511175368976081,0.291829003778988,0.827430041179923
2020-04-01,"New Territories East",21.4766666666667,48.8333333333333,0.0645,1.17,24,1320,85,75,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,70,60.8078019406661,35.1405536318242,97.5979843539233,0.85964786655151,0.80233800878141,0.696977296106405,0.402780026120488,1.11866532039437
2020-04-01,"New Territories West",21.5786666666667,66.375,0.0477333333333333,1.08,32,1760,84,52,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,51,45.6986040372945,27.7230071410468,70.7900466558557,0.596022520809047,0.584560549255027,0.523796099533899,0.317760319242576,0.811393501077176
2020-05-01,"Hong Kong Island & Kowloon",27.347311827957,331.125,0.08928125,1.303125,68,3740,334,116,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,128,135.068814241652,87.6118712702696,198.402836603853,1.32958870026634,1.46713235891458,1.54815490667305,1.0042047762943,2.27408766939027
2020-05-01,"New Territories East",27.3956989247312,213.833333333333,0.1111,1.27,26,1430,159,141,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,173,195.474921748002,125.171559810954,287.866833312015,1.61613798911684,1.98292107884548,2.24052799259991,1.43471285792549,3.29952145476817
2020-05-01,"New Territories West",27.3690322580645,284.375,0.117666666666667,1.28,34,1870,220,151,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,123,125.84349851655,79.8998675415033,188.077672636926,1.73075770465704,1.40982250114448,1.44241460025507,0.915810008930688,2.15574093371076
2020-06-01,"Hong Kong Island & Kowloon",29.1342735042735,330.75,0.174205882352941,1.41176470588235,68,3740,652,246,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,257,195.170360823517,118.466040564681,305.820106424344,2.81964500228895,2.94572668938318,2.237037123947,1.35785438706977,3.50530136048324
2020-06-01,"New Territories East",29.1444444444444,408,0.22575,1.625,26,1430,323,367,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,337,252.556317751301,154.381087521599,392.833370327059,4.20654356032539,3.86268441370479,2.89479332985348,1.76951163365126,4.50264491615861
2020-06-01,"New Territories West",29.0446666666667,186.375,0.1744375,1.5375,34,1870,326,268,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,247,185.54258831685,112.789039366299,289.683739794272,3.0718083764774,2.83110697384297,2.126683869347,1.29278476082178,3.32034678518412
2020-07-01,"Hong Kong Island & Kowloon",29.8645161290323,123.325,0.0757647058823529,1.21818181818182,68,3740,283,92,2020,2020,7,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,86,79.46414538681,57.0939986908357,108.338021868235,1.05450138296985,0.985729553645732,0.910815773988137,0.654409788899622,1.24176732487252
